NAME	GENE	CHR	ya1s4p2_109	ya1s4p2_125	ya1s4p2_0115FR	ya1s4p2_0111FR	ya1s4p2_0112
YER024W			0.72	0.68	1.68	1.82	0.59
YLR167W	RPS31		0.08	0.07	17.06	19.45	0.07
YEL007W			1.14	0.5	1.92	1.94	0.3
YOR053W			0.89	0.66	1.41	1.36	0.89
YPR011C				1.63	0.63	0.84	1.63
YNL333W	SNZ2		2.4	3.29	0.62	0.59	2
YOL036W			0.57	0.56	1.84	1.66	0.66
YLR168C	MSF1'		2.17	2.08	0.51	0.6	1.88
YOR388C	FDH1		0.89		1.16	1.21	0.88
YOR054C			0.99	0.94	1.03	0.94	1.09
YCL013W			1.35	1.03	0.96	0.73	1.47
YML058C-A			2	1.94	0.45	0.48	2.25
YNL334C	SNO2		4.8		0.2		4.07
YOL037C			0.74		1.18	0.95	0.99
YKL114C	APN1		1.46	1.42	0.63	0.8	1.47
YML042W	CAT2		0.78	0.8	1.68	1.77	0.66
YGR019W	UGA1		2.64	2.83	0.36	0.43	2.68
YPL262W	FUM1		2.35	2.15	0.53	0.65	2.08
YMR125W	STO1		0.62	0.56	2.02	1.69	0.59
YLR422W			1.04	1.2	0.87	0.8	1.11
YML108W			0.68	0.59	1.74	1.67	0.59
YJL091C			1.3	1.49	0.73	0.81	1.29
YBR073W	RDH54		1.47	1.8	0.66	0.59	1.62
YBL056W	PTC3		0.8	0.72	1.62	1.72	0.74
YCR031C	RPS14A		0.12	0.12	7.4	9.21	0.13
YJL157C	FAR1		1.29		0.65		1.54
YMR060C	TOM37		1.13	1.16	0.76	0.79	1.52
YBR139W			2.88	3.08	0.39	0.34	3.07
YPL263C	KEL3		0.72	0.41	1.94	1.88	0.47
YML043C	RRN11		0.68	0.62	1.37	0.89	0.9
YDR322W	MRPL35		1.07	1.01	0.93	1.02	1.02
YER025W	GCD11		0.47	0.36	2.63	2.37	0.42
YMR126C			0.94	0.9	1.05	1.2	0.8
YLR423C			2.06	2.37	0.4		1.85
YEL008W			1.18	0.75	0.91		0.71
YBL057C			0.89	1.06	1.08	0.99	1.11
YAL020C	ATS1		1.14	1.34	0.88	0.92	0.97
YGR288W	MAL13		2.84		0.42	0.96	1.7
YDR068W	DOS2		1.06	1.02	1.06	0.95	1.11
YDR323C	PEP7		1.5	1.76	0.62	0.68	1.65
YER026C	CHO1		1.5	1.42	0.7	0.94	1.18
YEL009C	GCN4		0.64	0.71	2.12	2.41	0.59
YCL014W	BUD3		0.65	0.58	1.4	1.42	0.8
YKL115C			1.13	1.05	0.78	0.82	1.09
YIL120W			0.79		1.06	1.05	0.87
YML109W	ZDS2		1.34	1.2	0.8	0.71	1.26
YGR289C					0.25	0.35	
YPR012W			0.73	0.64	1.34	1.4	0.69
YDR069C	DOA4		1.07	0.96	1.05	1.04	0.95
YBR074W			0.5	0.48	2.28	2	0.45
YJL158C	CIS3		1.14	0.79	1.35	0.98	0.39
YHR180W			0.77		1.23	1.34	0.62
YDL240W	LRG1		0.99	0.66	1.14	0.95	0.6
YPL264C			2.35		0.33		1.91
YOR389W			1.27	1.89	0.61	0.75	1.27
YLR169W			2.37	3.5	0.36	0.28	3.35
YMR127C	SAS2		1.43	1.51	0.74	0.9	1.35
YOR055W			0.86	1.04	0.96	1.04	1.02
YOR310C	NOP58		0.23	0.22	4.88	2.92	0.31
YOL038W	PRE6		1.79	1.6	0.62	0.51	2.41
YNL335W			1.86	2.29	0.58	0.51	1.83
YNL001W	DOM34		0.66	0.63	1.32	1.45	0.56
YAL021C	CCR4		1.01	0.74	1.25	1.05	0.96
YJL092W	HPR5		0.77	0.67	1.56	1.37	0.8
YDR324C			0.42	0.33	2.41	2.26	0.43
YER027C	GAL83		1.12	0.74	1.15	1.15	0.81
YNL270C					0.53		1.38
YKL050C			1.35	1.49	0.6	0.69	1.22
YCR032W	BPH1		0.93	0.75	1.24	1.1	0.82
YMR173W-A			3.13	3.14	0.57	0.52	2.99
YOR056C			0.57	0.56	1.67	1.42	0.71
YGR210C			0.86	0.9	1.29	1.38	0.78
YMR061W	RNA14		0.87	0.77		1.2	0.85
YKL116C			0.63	0.68	1.64	1.22	0.7
YIL121W			0.79	0.77	1.27	1.29	0.8
YNL002C	RLP7		0.4	0.37	2.87	2.53	0.45
YLR424W			1.43	1.3	0.82	0.88	1.33
YJL093C	TOK1		1.35	1.36	0.73	0.86	1.48
YBR075W			0.48	0.47	2.07	1.93	0.5
YBL058W	SHP1		1.64	1.7	0.75	0.65	1.89
YHR181W			3.21	6.81	0.14	0.41	4.2
YCL016C			1.48	1.59	0.71	0.74	1.37
YDL241W					7.63		0.12
YMR062C	ECM40		1.25	1.39	0.73	1.01	
YFR024C-A			1.18	1.15	0.83	0.84	0.9
YPR014C			1.68		0.48	0.71	1.38
YOR311C			0.79	0.81		1.22	0.78
YNL336W	COS1		6.24	5.74	0.14	0.31	5.61
YOL039W	RPP2A		0.12	0.14	14.87	13.87	0.13
YAL022C	FUN26		1.48	1.57	0.75	0.75	1.38
YER028C			1.03		0.79		
YNL271C	BNI1		0.99	0.8	1.15	1.1	0.77
YCR033W			0.76		0.91	0.88	0.92
YJL159W	HSP150		0.98	0.79	1.56	0.63	2.08
YNR020C			0.65	0.77	1.43	1.29	0.86
YIL122W			1.01	0.79	1.02	0.9	1.15
YPL265W	DIP5		1.44	1.5	0.87	1.96	0.6
YML045W			23.94	22.46	0.1	0.09	29.39
YNL003C	PET8		1	1	0.86	1.47	1
YLR425W	TUS1		0.51	0.65	1.56	1.29	0.73
YMR128W	ECM16		0.54	0.36	2.53	1.9	0.5
YJL094C			0.89	0.84	1.28	1.08	0.99
YBR076W	ECM8		2.2	3.29	0.35	0.24	2.7
YBL059W			1.73	1.61	0.45	0.59	2.34
YHR182W			0.6	0.49	1.4	1.15	
YCL017C	NFS1		0.8	0.79	1.32	1.25	0.9
YDL242W			0.74	1.01	0.91	0.86	0.96
YKL051W			1.86	2.35	0.53	0.42	2.89
YDR325W	YCG1		1.17	1.07	0.75	0.82	1.15
YGR211W	ZPR1		0.7	0.59	1.7	1.83	0.61
YOR057W	SGT1		1.36	1.28	0.78	0.85	1.23
YPR015C			2.72		0.27		
YOR312C	RPL20B		0.11	0.11	8.2	8.26	0.13
YNL337W			0.44	0.53	2.09	1.73	0.53
YKL117W	SBA1		1.58	1.35	0.82	0.68	1.83
YBR077C			1.38	1.48	0.62	0.78	1.25
YAR040C			1.48		0.64		1.13
YDR260C	SWM1		1.01	1.13	1.05	0.94	1.34
YAL023C	PMT2		0.23	0.21	5.68	2.93	0.28
YDL243C	AAD4		1.41				0.38
YDR326C			1.02	1	0.96	0.9	1.22
YER029C	SMB1		0.93	0.75	1.16	1.05	0.93
YNL272C	SEC2		0.81	0.77	1.25	1.07	0.74
YKL052C			1.44	1.3	0.74	0.94	1.44
YCR034W	FEN1		0.45	0.55	2.03	2.02	0.67
YOR058C	ASE1		1.09	1.26	0.93	0.94	1.21
YMR063W	RIM9		0.93	0.87	1.1	1.07	0.65
YLR360W	VPS38		1.53	1.35	0.82	0.9	1.29
YIL123W	SIM1		0.84	0.77	1.58	0.89	1.38
YPL266W	DIM1		0.49	0.46	2.13	2.09	0.56
YML046W	PRP39		0.83	0.87	1.14	0.96	0.91
YLR426W			0.77	0.7	1.39	1.26	0.68
YMR129W	POM152		0.63	0.5	2.48	2.16	0.56
YCR035C	RRP43		2.02	5.33	0.22	0.21	2.4
YHR183W	GND1		0.25	0.18	4.05	2.99	0.31
YLR361C			1.53	1.33	0.73	0.8	1.33
YML047C			1.2		0.89	0.8	0.6
YLL010C			0.43		1.95	1.1	0.45
YGR212W			1.19		0.62	0.82	0.87
YPR016C	TIF6		0.37	0.29	3.79	2.86	0.37
YOR313C	SPS4		1.62	1.53	0.74	0.75	1.31
YNL338W			0.73	0.45	1.96	1.9	0.74
YKL118W			0.83		0.73		1.11
YNR021W			0.47	0.56	2.27	2.15	0.6
YNL004W	HRB1		0.92	0.78	1.32	1.31	0.82
YDR261C	EXG2		0.91	0.86	1.15	1.13	1.06
YAL024C	LTE1		1.15	1.46	0.76	0.83	0.49
YJL095W	BCK1		0.92	0.83	1.31	0.97	1.12
YOR059C			2.03	2.06	0.5	0.45	2.16
YGR213C	RTA1		3.3		0.32		2.44
YCL018W	LEU2		0.49	0.48	2.21	2.16	0.49
YNL339C	YRF1-6		1.14	1.28	0.92	1.05	0.94
YMR064W	AEP1		0.89	0.83	1.19	1.34	0.84
YKL119C	VPH2		1.13	1.09	1.01	0.93	1.28
YNR022C			1.07	0.92	1.45	1.2	1.28
YIL124W	AYR1		3.3	3.09	0.31	0.45	2.47
YPL267W			0.94	1.02	0.89	1.11	0.76
YNL005C	MRP7		0.81	0.92	1.14	1.1	0.99
YLR427W			0.86	0.8	1.34	1.17	0.88
YBR078W	ECM33		0.52	0.71	2.23	1.44	0.8
YHR184W	SSP1		1.5	1.47	0.65	0.55	1.78
YDL244W	THI13		1.78	2.86	0.48	0.82	1.31
YKR070W			1.41	1.32	0.93	1.14	1.02
YKL053W			1.39	1.7	0.65	0.65	1.53
YGL130W	CEG1		1.6	1.58	0.64	0.38	1.59
YDR327W			1.31	1.24	0.88	1.06	1
YNL273W	TOF1		0.55	0.55	1.71	1.62	0.57
YLR428C			0.61	0.6	1.53	1.52	0.67
YPR017C	DSS4		0.66	0.59	1.66	1.12	0.78
YBR079C	RPG1		0.42	0.47	2.23	1.77	0.58
YHR185C	ADY1		1.16	1.12	0.99	0.96	0.98
YAL025C	MAK16		0.41	0.42	2.69	1.51	0.51
YDL245C	HXT15		0.99	0.88	0.86	0.73	1.08
YKR071C			1.44	1.34	0.84	0.62	1.97
YJL096W	MRPL49		0.98	1.02	1.01	0.99	1.13
YDR328C	SKP1		1.37	1.28	0.84	1.11	1.03
YNL274C			7.41	8.75	0.13	0.19	7.78
YKL054C			0.79			0.92	
YCR036W	RBK1		1.3	1.27	0.83	0.79	1.31
YGL131C			1.1	1.09	0.91	1.12	0.88
YCL019W			11.5	6.75	0.17	0.15	7.72
YMR065W	KAR5		1.47	1.49	0.65	0.65	1.46
YLR362W	STE11		1.21	1.15	0.72	0.8	1.33
YJR100C			1.63	1.62	0.67	0.8	1.45
YIL125W	KGD1		1.07	1.21	1	0.96	1.25
YPL268W				0.79			
YML048W	GSF2		0.78	0.55	1.72	1.45	0.76
YLL011W	SOF1		0.43	0.34	2.46	1.66	0.53
YIL082W-A			0.95		0.76	0.84	1.3
YOR314W			1.35		1.02	1.09	0.69
YCR037C	PHO87		1.05	1.03	1	1.04	0.97
YAR042W	SWH1		1.02	1.1	1.09	0.98	1.29
YDR262W			5.23	5.42	0.16	0.21	5.43
YLR363C	NMD4		1.05	1.11	0.81	0.94	0.91
YML049C	RSE1		1.06	0.73	1.22	1.16	0.89
YGR214W	RPS0A		0.1	0.09	13.71	12.71	0.09
YNR023W	SNF12		0.98	1.02	1	0.97	1.08
YMR320W			1.03	1.42	0.72		1.54
YNL006W	LST8		1.92	1.93	0.59	0.72	1.57
YHR186C			0.55	0.39	2.46	1.89	0.52
YAR043C			1.42		1.09		0.71
YDR263C	DIN7		1.32	1.62	0.63	0.78	1.15
YAL026C	DRS2		1.84	3.21	0.41	0.37	2.89
YDL246C			1.02				0.33
YKR072C	SIS2		0.8	0.88	1.3	0.94	0.92
YJL097W			1.19	1.22	0.89	1.06	1.24
YDR329C	PEX3		0.73	0.65	1.52	1.26	0.73
YKL055C	OAR1		0.98		1.11		0.7
YIL060W			3.54	4.45	0.3	0.32	3.82
YMR066W	SOV1		1.18	1.24	0.78	0.68	1.24
YMR321C			0.29	0.3	2.63	2.66	0.38
YIL126W	STH1		0.62		1.18	1.21	0.74
YPL269W	KAR9		0.91	0.83	0.89	1.28	0.73
YNL007C	SIS1		3	2.63	0.34	0.65	2.13
YLR429W	CRN1		0.68	0.57	1.68	1.55	0.62
YLL012W			0.21	0.27	4.26	2.57	0.32
YPR018W	RLF2		0.9	0.73	1.18	1.03	0.79
YOR315W			0.92	0.88	1.18	1.24	0.86
YDL180W			1.95	2.11	0.47	0.47	2.02
YCR038C	BUD5		1.16	1.24	0.79	0.79	1.27
YIL061C	SNP1		0.6	0.93	0.93	0.98	0.96
YBR001C					0.15	0.18	5.15
YMR067C			1.12	1.34	0.74	0.62	1.16
YIL127C			0.56	0.51	1.94	1.65	0.69
YOR250C	CLP1		0.62	0.91	1.21	1.19	0.87
YGL132W			1.31	1.39	0.91	0.98	1.31
YNL275W			0.78	0.96	1.21	1.09	0.94
YLL013C			0.46	0.26	2.44	1.51	0.54
YGR215W			1.07	0.93	1.18	0.95	1.08
YOR316C	COT1		1.42	1.28	0.87	0.87	1.03
YJR101W			1.15	1.18	0.92	0.99	0.88
YNR024W			0.78	0.7	1.64	1.32	0.94
YDR264C	AKR1		1.59	1.44	0.62	0.62	1.42
YKR073C			1.07	1.08		0.78	0.78
YGR150C			1.25	1.05	0.89	0.81	0.92
YJL098W	SAP185		0.81	0.64	1.47	1.24	0.85
YNL276C			2.69		0.45	0.45	5.16
YKL056C			0.5	0.57	2.96	3.59	0.4
YGR216C	GPI1		0.78	0.73	1.53	1.49	0.7
YLR364W			1.28	1.42	0.72	0.68	1.51
YNR025C			0.75	0.75	1.4	1.29	0.85
YJR102C			1.29	1.81	0.64	0.79	1.09
YNL008C			1.37	1.28	0.92	0.84	0.35
YLR030W			2.19		0.43	0.56	1.9
YBR270C			1.29		0.66		1.23
YPR019W	CDC54		0.82	0.76	1.28	1.06	0.96
YDL181W	INH1		0.93	0.98	1.49	1.71	0.9
YCR039C	MATALPHA2		1.98	2.32	0.53	0.57	1.99
YIL062C	ARC15		1.78	1.78	0.65	0.66	2.16
YAR044W	OSH1		1.1		1.19	1.08	0.76
YHR187W	IKI1		1.24		0.77		0.67
YAL027W			1.38	1.31	0.72	0.84	1.28
YBR002C	RER2		0.58	0.53	1.57	1.53	0.59
YDL247W			1.34		0.66	0.67	
YOR251C			1.25	1.52	0.75	0.78	1.18
YGL133W			1.33	1.29	0.82	0.9	1.39
YHR188C			0.52		2.24	1.68	0.68
YGR151C			0.99	0.8	1.09	1.07	0.89
YJL099W	CHS6		1.83	1.83	0.54	0.52	2.16
YKL057C	NUP120		0.69	0.6	1.71	1.25	0.7
YJL020C			0.94	0.85	1.03	0.88	1.28
YMR068W			1.22	1.13	0.92	0.95	0.98
YNR026C	SEC12		0.67	0.58	1.52	1.6	0.65
YIL128W	MET18		0.5	0.53	2.05	1.73	0.63
YLR031W			2.79		0.38	0.64	2.05
YLL014W			0.75	0.83	1.33	1.33	0.73
YOR317W	FAA1		1.28	1.34	0.94	0.91	1.37
YDL182W	LYS20		3.07	2.52	0.37	0.6	2.13
YIL063C	YRB2		1.19	1.2	0.88	0.95	1
YDR265W	PEX10		1.53	1.35	0.77	0.67	1.44
YAL028W			0.65	0.73	1.62	1.74	0.72
YDL248W	COS7		2.4	5.62	0.26	0.34	
YDR520C			1.09	0.95	0.94	1.09	0.99
YKR074W			1.41	1.52	0.81	0.91	1.42
YIL129C	TAO3		1.04	1.42	0.72	0.72	0.9
YGL134W	PCL10		1.22	1.07	0.88	1.01	0.98
YNL277W	MET2		2.78	2.95	0.42	0.26	4.35
YGR217W	CCH1		1.1	1.3	0.88	0.85	1.06
YOR318C			1.25		0.72		1.1
YMR323W			0.6	0.75	1.21	1.22	0.81
YJR103W	URA8		1.51		0.44	0.7	1.18
YDL183C			1.85	2.02	0.5	0.56	2.08
YNL009W	IDP3		1.79	2.26	0.59	0.74	1.47
YDR266C			0.76	0.62	1.54	1.57	0.65
YBR271W			0.67	0.72	1.36	1.44	0.63
YAL029C	MYO4		1.03	0.84	1.31	1.19	1.08
YKR075C			0.67	0.58	1.88	1.51	0.66
YGR152C	RSR1		1.09	0.88	1.16	1.13	0.91
YJL021C			1.1	1.17	0.88	0.8	1.51
YBR003W	COQ1		0.97	1.05	1.06	1.06	0.89
YMR069W			0.61		1.09	1.06	
YMR324C			1.01	0.87	1.3	1.03	1.03
YJR104C	SOD1		3.36	3.29	0.51	0.64	2.67
YOR252W			0.61	0.57	1.64	1.47	0.75
YLR032W	RAD5		1.12	1.12	0.9	1.03	1.01
YLL015W	BPT1		0.88	0.89	0.99	1.03	0.98
YBR272C	HSM3		1.08	1.26	0.7	0.76	1.25
YHR189W			0.9	0.36	1.76	0.94	0.78
YBR004C			0.86	0.79	1.23	1.08	1.15
YGL135W	RPL1B		0.18	0.17	10.16	11.7	0.17
YNL278W			0.71	0.74	1.33	1.3	0.85
YKL058W	TOA2		0.91	1	1.23	1.29	0.89
YGR218W	CRM1		0.97	0.85	1.26	1.36	0.77
YNR027W			0.84	0.65	1.17	1.08	0.83
YDL184C	RPL41A		0.22	0.2	8.45	9.4	0.22
YAR047C					0.82	0.73	0.91
YDR267C			1.02	0.83	1.08	1.04	0.89
YGL070C	RPB9		0.62	0.59	1.84	1.51	0.73
YKL059C			0.97	0.79	1.03	1.21	1.1
YGL136C			1.58	1.18	0.69	0.73	1.77
YIL064W			0.47	0.49	2.61	2.6	0.57
YDR521W			0.77	0.96	0.84	0.85	0.95
YLR367W	RPS22B		0.05	0.05	29.18	22.07	0.06
YHR110W	ERP5		0.78	0.95	1.33	1.05	0.88
YOR253W			0.58	0.53	2.33	1.99	0.58
YLR033W			0.6	0.57	1.67	1.47	0.6
YLL016W	SDC25		0.74	0.76	1.26	1.66	0.75
YBR273C			2.26	2.18	0.48	0.58	1.99
YOR319W	HSH49		0.85	1.01	1.12	1.29	0.9
YIL065C			2.2	2.26	0.51	0.6	1.96
YDR522C	SPS2		0.92		0.84	0.82	1.09
YKR076W	ECM4		21.71		0.04	0.05	38.02
YGR153W			3.84		0.24		4.89
YOR254C	SEC63		0.43	0.38	3.05	2.68	0.48
YLR034C	SMF3		0.56	0.88	1.31	1.15	0.87
YNL279W			1.1	1.24	0.88	0.88	1.02
YJL022W			1.19	1.63	0.62	0.68	1.2
YGR219W			1.08	1.08	0.99	0.91	1.35
YNL200C			5.85	6.67	0.17	0.32	3.8
YMR158W-A			1.28	1.14	0.82	0.98	1.31
YNR028W	CPR8		1.01	1.04	1.08	1.08	1
YMR325W			1.43		0.76	0.82	1.42
YJR105W			1.15	1.05	1.11	1.73	0.71
YGR154C			2.95	5.73	0.23	0.23	
YMR260C	TIF11		0.41	0.38	3.02	2.45	0.5
YJL023C	PET130		1.63	1.47	0.48	0.69	1.6
YBR005W			2.55	3.01	0.38	0.43	2.73
YLR368W			0.91	0.91	0.86	1.02	0.95
YNR029C			0.81	0.78	1.37	1.33	0.78
YMR326C			0.87	1.3	1.13	0.97	0.84
YHR111W			0.88	0.84	1.18	0.96	0.99
YLL017W			1.03	1.23	0.78	0.76	1.07
YER160C			1.06	17.23	0.09	0.07	0.34
YDL185W	TFP1		0.53	0.65	2.2	2	0.62
YIL066C	RNR3		0.45	0.44	2.39	2.19	0.53
YDR268W	MSW1		1.49	1.41	0.63	0.71	1.44
YGL071W	RCS1		0.73		1.45	1.06	0.54
YDR523C	SPS1		1.16		0.55		0.61
YKR077W			1.2	1.27	0.66	0.8	1.09
YLR035C			1.04	0.92	0.98	1.05	0.91
YHR112C			0.82	0.82	1.25	1.25	0.89
YGL137W	SEC27		0.91	0.83	1.43	1.36	0.95
YLL018C	DPS1		0.45	0.42	2.45	2.47	0.52
YJR040W	GEF1		0.84	0.68	1.57	1.16	0.76
YNL201C			0.68	0.77	1.38	1.1	0.98
YJR106W	ECM27		0.41	0.34	3.48	3.2	0.33
YDR269C			1.72		0.27		2.31
YGL072C			1.49	1.57	0.72	0.62	2.12
YBR274W	CHK1		1.1	1.01	0.96	1.06	0.95
YGL138C			0.95				
YMR261C	TPS3		0.86		0.74	0.83	0.64
YJR041C			1.12	1.05	0.95	0.87	1.01
YJL024C	APS3		0.86	1.1	0.94	1.04	0.95
YBR006W			3.8		0.17		3.27
YLR369W	SSQ1		0.99	1.28	0.69	0.68	1.04
YOR255W			0.77	0.89	1.03	1.02	0.89
YBR275C	RIF1		1.13	1.15	0.91	0.85	0.49
YDL186W			0.46		1.58	1.25	0.58
YER161C	SPT2		0.78		1.44	1.47	0.8
YIL067C			0.95	0.92	1.02	1.09	0.99
YDR524C			0.94	0.8	1.26	0.96	0.93
YKR078W			0.8	0.84	1.32	1.14	0.78
YGR155W	CYS4		1.23	1.19	0.86	0.84	1.58
YOR256C			1.1	1.04	0.9	0.84	1.09
YLR036C			5.18	8.9	0.15	0.17	5.48
YLL019C	KNS1		1.44	1.17	0.83	0.82	1.32
YJR107W			1.28	1.52	0.75	0.8	1.17
YPL130W	SPO19		0.8		1.15	1.12	
YDL187C			0.81		1.02	1.16	0.92
YKR079C			0.8	0.46	1.87	1.75	0.52
YOR190W	SPR1		1.17		1.23	0.99	0.89
YHL030W	ECM29		0.8	1.02	1.04	0.74	0.37
YHR113W			1.04	1.28	0.84	1.01	0.97
YBR276C	PPS1		0.77	0.68	1.45	1.25	0.71
YNL202W	SPS19		2.97	3.83	0.34	0.51	2.29
YFL-TYA			10.57	6.2	0.19	0.17	12.46
YER162C	RAD4		1.38	1.72	0.65	0.66	1.34
YFL-TYB			12.11	8.17	0.21	0.15	9.39
YIL068C	SEC6		0.53	0.56	1.62	1.64	0.63
YGR090W			0.29	0.23	4.68	4.14	0.29
YGL073W	HSF1		0.77	0.87	1.36	1.05	1.01
YHR214C-B			4.7	7.98	0.22	0.2	5.75
YBR008C	FLR1		7.58		0.11	0.08	15.44
YHL031C	GOS1		1.1	1.12	0.99	1.18	1.03
YGR156W			1.5	1.01	0.82	0.87	1.58
YLR037C			1.12	1.06	1.14	1.26	1.15
YGL139W				0.56	1.82	1.81	0.58
YMR262W			1.76	1.97	0.51	0.96	1.29
YJR042W	NUP85		1.06	0.86	0.91	0.99	0.56
YJL025W	RRN7		0.71	0.71	1.23	1.08	0.87
YNL203C					0.23	0.57	2.18
YJR108W	ABM1		1.23				0.34
YPL131W	RPL5		0.07	0.07	22.41	13.54	0.09
YDL188C	PPH22		1.16	1.14	0.93	1.11	0.89
YGL074C			0.93		1.03	0.85	1.07
YJR043C	POL32		1.01	0.8	1.09	1.03	0.96
YOR191W	RIS1		0.9	0.83	1.16	1.24	0.78
YDR525W			0.7		1.11	0.99	0.55
YJR109C	CPA2		0.94	0.74	1.31	1.39	0.66
YOR257W	CDC31		1.38	1.5	0.61	0.75	1.55
YHR114W			0.15	0.12	10.2	9.33	0.16
YBR277C			1.19	1.39	0.79	0.73	1.37
YER163C			1.71	1.74	0.62	0.61	1.85
YIL069C	RPS24B		0.1	0.1	8.92	8.29	0.14
YGR091W	PRP31		0.96	1.38	0.9		0.98
YOR192C			0.15	0.22	7.88	4.33	0.17
YBR009C	HHF1		0.65	0.7	1.55	1.83	0.64
YDR526C			1.08		0.83	0.82	1.08
YHL032C	GUT1		0.75		1.27	1.41	0.69
YGR157W	CHO2		1.18	1.18	0.86	1.12	0.9
YHR115C			2.3	2.7	0.44	0.36	2.93
YMR263W			1.41	1.53	0.64	0.7	1.47
YKR001C	VPS1		0.92	0.98	1.12	1.13	0.83
YJL026W	RNR2		1.15	1.3	0.99	1.26	1
YNL204C	SPS18		1.1	1.38	0.78	0.81	1.14
YPL132W	COX11		0.8	0.87	1.1	1.2	0.88
YGL075C	MPS2		0.99	0.81	0.99	1.04	0.79
YGR158C	MTR3		0.88	0.75	1.75	1.75	0.76
YJR010C-A	SPC1		0.63	0.42	2.41	1.55	0.79
YDR460W	TFB3		1.46	1.48	0.68	0.72	1.22
YJR044C			1.62	1.77	0.74	0.67	1.83
YJL027C							0.81
YPL133C			1.22	1.33	0.79	1.01	0.94
YOR258W			1.55	1.78		0.63	1.67
YDL189W			0.82	0.75	1.41	1.1	0.98
YGR092W	DBF2		2.37	2.96	0.44	0.33	3.04
YDL110C			5.27	5.86	0.2	0.23	5.27
YHL033C	RPL8A		0.06	0.07	26.9	25.81	0.06
YOR259C	RPT4		1.16	0.99	0.98	0.7	1.47
YLR039C	RIC1		1.1	1.05	0.89	0.91	0.91
YMR264W	CUE1		1.1	0.93	1.14	1.13	0.93
YPR150W			4.62	5.56	0.18	0.35	4.35
YNL205C			0.78	0.84	1.17	1.31	0.8
YGL076C	RPL7A		0.2	0.12	6.86	7.98	0.19
YBR278W	DPB3		1.52	1.4	0.75	0.72	1.55
YGR159C	NSR1		0.26	0.26	3.85	2.73	0.35
YDR461W	MFA1		1.61	2.96	0.44	0.64	1.76
YER164W	CHD1		0.87	0.79	1.27	1.21	0.8
YMR265C			1.1	1.09	0.91	0.83	0.88
YJR045C	SSC1		0.76	0.7	1.61	1.22	0.92
YHR050W	SMF2		0.64	0.58	1.85	1.75	0.61
YOR193W			1.98	1.83	0.47	0.63	1.77
YPR151C			5.3	6.42	0.2	0.24	4.14
YDR527W			0.69	0.62	1.5	1.16	0.87
YPL134C			1.27	1.27	0.79	1.05	1.04
YHR116W			0.85	0.82	1.17	1.04	1.08
YKR002W	PAP1		0.6	0.42	2.23	1.76	0.64
YGR093W			0.89	0.87	1.13	0.97	0.94
YOR194C	TOA1		1.09	0.92	1.11	0.97	1.13
YDL111C	RRP42		0.76	0.75	1.44	1.2	0.89
YHL034C	SBP1		0.72	0.72	1.62	1.51	0.74
YNL140C			1	0.81	1.23	1.09	0.93
YJL028W			0.62	0.67	1.24	1.28	0.66
YNL206C			0.74	0.71	1.53	1.45	0.72
YGL077C	HNM1		1.02	0.9	1.2	1.15	0.84
YBR279W	PAF1		1.17	1.51	0.83	0.79	1.08
YDR462W	MRPL28		0.83	0.93	1.04	1.2	0.97
YER165W	PAB1		0.24	0.19	5.57	3.63	0.32
YJL029C			1.09	1	1.03	1.14	0.97
YHR051W	COX6		0.59	0.6	1.5	1.42	0.64
YPR152C			0.83			1.14	0.65
YDR528W			0.69	0.65	1.71	1.41	0.63
YHR117W	TOM71		0.18	0.18	6.33	6.04	0.21
YKR003W			1.12	1.03	1.02	1.06	0.89
YGR094W	VAS1		0.4	0.36	3.6	3.23	0.41
YFL035C-A			0.47	0.32	2.2	2.6	0.48
YDR529C	QCR7		1.56	1.21	1.12	0.91	1.49
YFL035C-B			0.17	0.24	7.23	6.1	0.23
YHL035C			1.17	0.93	0.81	1.17	0.35
YFL040W			2.57		0.23		3.58
YHR118C	ORC6		0.55	0.41	2.1	1.71	0.67
YBR200W	BEM1		1.13	1.13	0.81	0.83	1.16
YMR266W			0.69				
YJR046W	TAH11		1.21	1.4	0.77	0.89	0.85
YKR004C	ECM9		1.3	1.58	0.73	0.96	0.99
YPL135W	ISU1		1.67	3.47	0.36	0.5	2.02
YGR095C	RRP46		0.59	0.63	1.52	1.4	0.67
YGL078C	DBP3		0.61	0.49	1.9	1.65	0.59
YDR463W	STP1		1.38	1.55	0.6	0.61	1.52
YER166W			1.01		0.53		0.37
YJR047C	ANB1		0.41	0.41	3.33	3.4	0.34
YOR195W	SLK19		1.12	0.97	0.94	0.8	1.18
YHR052W			4.31	6.66	0.22	0.27	3.9
YDL112W	TRM3		1.03	0.87	1.21	1.1	0.8
YNL141W	AAH1		0.21	0.21	6.37	5	0.21
YNL207W			0.82	0.62	1.48	1.45	0.67
YOR196C	LIP5		1.77	1.7	0.59	0.77	1.65
YHR053C	CUP1-1		0.81	0.62	1.51	1.12	0.94
YDR130C			1.37	1.46	0.63	0.78	1.19
YDL113C			1.3		0.43	0.54	1.72
YFL041W	FET5		0.63	0.61	1.71	1.78	0.55
YBR201W	DER1		1.16	1.57	0.73	0.79	1.32
YMR267W	PPA2		1.34	1.35	0.71	0.7	1.23
YPL070W			1.56	1.46	0.74	0.64	1.83
YKR005C			1.01		0.65		1.11
YIR010W			0.93	0.9	1.09	1.05	0.93
YPR153W			0.86			1	
YLR230W			0.87	0.99	1.12	1.17	0.84
